Title,Image
Annual Report 2024,"/sites/default/files/styles/16_9_medium_with_focal/public/2025-05/Cover%202024_hero_web.webp?h=7df00a74&itok=F60Xyu75 1x, /sites/default/files/styles/16_9_medium_with_focal/public/2025-05/Cover%202024_hero_web.webp?h=7df00a74&itok=F60Xyu75 2x"
What should the European Union aim for in a trade deal with Trump?,"/sites/default/files/styles/featured_image_small_with_focal_point/public/2025-05/Ignacio%20150525.webp?h=199d8c1f&itok=QBvaanqk 1x, /sites/default/files/styles/featured_image_medium_with_focal_point/public/2025-05/Ignacio%20150525.webp?h=199d8c1f&itok=lzpL1jiY 2x"
How much research talent could Europe grab from the US?,"/sites/default/files/styles/featured_image_small_with_focal_point/public/2025-05/Mario%20140525.webp?h=69f2b9d0&itok=oky2CSHX 1x, /sites/default/files/styles/featured_image_medium_with_focal_point/public/2025-05/Mario%20140525.webp?h=69f2b9d0&itok=V5ngnJcD 2x"
Lessons for the European Central Bank from the 2021-2023 inflationary episode,"/sites/default/files/styles/featured_image_small_with_focal_point/public/2025-05/WP%2005.webp?h=199d8c1f&itok=yhhNliGT 1x, /sites/default/files/styles/featured_image_medium_with_focal_point/public/2025-05/WP%2005.webp?h=199d8c1f&itok=4l045BVI 2x"
‘Project Einstein’: research excellence for Europe and the world,"/sites/default/files/styles/featured_image_small_with_focal_point/public/2025-05/Heather%20080525.webp?h=2367e0f7&itok=aK-1uqvr 1x, /sites/default/files/styles/featured_image_medium_with_focal_point/public/2025-05/Heather%20080525.webp?h=2367e0f7&itok=WjRtFVVp 2x"
The European Union should not water down bank capital standards,"/sites/default/files/styles/featured_image_small_with_focal_point/public/2025-05/GettyImages-2205277595.webp?h=80accfed&itok=jeZr6n-6 1x, /sites/default/files/styles/featured_image_medium_with_focal_point/public/2025-05/GettyImages-2205277595.webp?h=80accfed&itok=VDZ1QGXB 2x"
Preventing future electricity blackouts requires thorough analysis,"/sites/default/files/styles/featured_image_small_with_focal_point/public/2025-05/GettyImages-2212456802.webp?h=69f2b9d0&itok=3peMJdca 1x, /sites/default/files/styles/featured_image_medium_with_focal_point/public/2025-05/GettyImages-2212456802.webp?h=69f2b9d0&itok=Hgxz4uAP 2x"
The governance and funding of European rearmament,"/sites/default/files/styles/featured_image_small_with_focal_point/public/2025-04/PB%2015.webp?h=37702503&itok=-ngWD140 1x, /sites/default/files/styles/featured_image_medium_with_focal_point/public/2025-04/PB%2015.webp?h=37702503&itok=QmkmtSRk 2x"
Defending Europe without the US: first estimates of what is needed ,"/sites/default/files/styles/featured_image_small_with_focal_point/public/2025-02/GettyImages-2184805451.webp?h=199d8c1f&itok=3pp1Vnes 1x, /sites/default/files/styles/featured_image_medium_with_focal_point/public/2025-02/GettyImages-2184805451.webp?h=199d8c1f&itok=OON2Z-XP 2x"
The economic impact of Trump’s tariffs on Europe: an initial assessment,"/sites/default/files/styles/featured_image_small_with_focal_point/public/2025-04/Niclas%20170425_0.webp?h=199d8c1f&itok=lyBYIh6D 1x, /sites/default/files/styles/featured_image_medium_with_focal_point/public/2025-04/Niclas%20170425_0.webp?h=199d8c1f&itok=RIncSBqK 2x"
Trump's reciprocal tariffs stoke fears that a Mar-a-Lago Accord could be next,"/sites/default/files/styles/featured_image_small_with_focal_point/public/2025-04/GettyImages-2169630425.webp?h=199d8c1f&itok=M83oUpiX 1x, /sites/default/files/styles/featured_image_medium_with_focal_point/public/2025-04/GettyImages-2169630425.webp?h=199d8c1f&itok=uIXYNyjG 2x"
Will China’s economy follow the same path as Japan’s?,"/sites/default/files/styles/featured_image_small_with_focal_point/public/2025-02/PB%2009.webp?h=199d8c1f&itok=mKnOrsWg 1x, /sites/default/files/styles/featured_image_medium_with_focal_point/public/2025-02/PB%2009.webp?h=199d8c1f&itok=dxjUlylh 2x"
