Title,Image
A Fragile Consensus? The Pressure on the Norm Against Nuclear Testing,https://www.ifri.org/sites/default/files/styles/max_650x650/public/2025-04/shutterstock_339956981.jpg?itok=gX51TZVY
Water in Mexico: an Emergency that Will Wait,https://www.ifri.org/sites/default/files/styles/max_650x650/public/2025-04/shutterstock_2534139911.jpg?itok=2xf-meUe
Trump's Trade War: What Answers for the European Union?,https://www.ifri.org/sites/default/files/styles/max_325x325/public/2025-05/shutterstock_2605040509.jpg?itok=r1wXPAzq
Taking the Pulse: Can Europeans Build Their Independent Extended Nuclear Deterrent?,https://www.ifri.org/sites/default/files/styles/max_325x325/public/2025-04/shutterstock_2008005947.jpg?itok=UrjXOw9z
France and the Philippines should anchor their maritime partnership,No image
How the US under Trump Became a Strategic and Ideological Adversary of Europe,https://www.ifri.org/sites/default/files/styles/max_325x325/public/2025-02/shutterstock_editorial_15157047a.jpg?itok=aasaFcoj
The China-Russia Partnership and the Ukraine War: Aligned but not allied,No image
"Commanders of Putin's Long War: Purged, Reshuffled and Disgruntled",https://www.ifri.org/sites/default/files/styles/max_325x325/public/2024-12/vladimir_poutine_et_generaux_russes_1.jpg?itok=dvVgV4Ph
Trump's Trade War: What Answers for the European Union?,https://www.ifri.org/sites/default/files/styles/max_325x325/public/2025-05/shutterstock_2605040509.jpg?itok=r1wXPAzq
A Fragile Consensus? The Pressure on the Norm Against Nuclear Testing,https://www.ifri.org/sites/default/files/styles/max_325x325/public/2025-04/shutterstock_339956981.jpg?itok=rqYMegTn
"France, the U.S. Oldest and Most Complicated Ally: A Stubborn Defender of a Truly European Industrial and Defence Policy",https://www.ifri.org/sites/default/files/styles/max_325x325/public/2025-04/2025.04.10_marie_tepsa.png?itok=JfR6m_Eh
