Title,Image
,
"Trump 2.0: transatlantic security, the European response, and the implications for Spain and Portugal",https://media.realinstitutoelcano.org/wp-content/uploads/2024/05/20240529-arnal-feas-la-competitividad-de-la-union-europea-frente-a-estados-unidos.jpg
Shattered hegemony: the rivalry between the US and China in the new era of the politics of force,https://media.realinstitutoelcano.org/wp-content/uploads/2025/04/20250407-ruiz-hegemonia-quebrada-rivalidad-entre-estados-unidos-y-china.jpg
The EU in a new geopolitical world order,https://media.realinstitutoelcano.org/wp-content/uploads/2025/04/20250428-mcnamara-the-eu-in-a-new-geopolitical-world-order-1.jpg
Trump’s global tariff shock,https://media.realinstitutoelcano.org/wp-content/uploads/2025/04/20250404-feas-otero-steinberg-shock-arancelario-global-trump.jpg
The end of the war in Ukraine and the future of the EU-Russia energy relation,https://media.realinstitutoelcano.org/wp-content/uploads/2025/03/20250325-urbasos-el-fin-de-la-guerra-en-ucrania-y-el-futuro-de-la-relacion-energetica-union-europea-rusia.jpg
"The Pope, the Holy See and the Israeli-Palestinian conflict",https://media.realinstitutoelcano.org/wp-content/uploads/2025/05/20250514-abueid-the-pope-the-holy-see-and-the-israeli-palestinian-conflict.jpg
The impact of the NGEU funds begins to be felt,https://media.realinstitutoelcano.org/wp-content/uploads/2025/05/20250513-chislett-the-impact-of-the-ngeu-funds-begins-to-be-felt.jpg
Fault lines in the East: Romania’s political transformation and Europe’s future,https://media.realinstitutoelcano.org/wp-content/uploads/2025/05/20250508-colibasanu-fault-lines-in-the-east-romania-political-transformation-and-europe-future.jpg
China and Southern Europe: neither a strategic shift nor a Spanish exception,https://media.realinstitutoelcano.org/wp-content/uploads/2025/05/20250507-esteban-china-y-el-sur-de-europa-ni-giro-estrategico-ni-excepcion-espanyola.jpg
The Houthi conundrum,
The keys to Argentina’s IMF agreement: old wine in a new bottle,
Power politics and the fear factor: Trump redefines the international order,
Trump’s tariff rage and its unforeseen dimensions on the global financial markets,
"Roundtable ‘Values, ideas, culture: the end of US soft power?’",
Seminar ‘Korea and the reform of global governance: opportunities for cooperation with the EU and Spain’,
Dissecting the Draghi Report,https://media.realinstitutoelcano.org/wp-content/uploads/2024/12/20241205-especial-informe-draghi-comision-europea-564x240.jpg
Spanish Presidency of the Council of the EU 2023,https://media.realinstitutoelcano.org/wp-content/uploads/2023/06/20230701-presidencia-espanola-consejo-ue-hero3-564x240.jpg
