Title,Image
Sick fantasies about Istanbul-2 will not stop the SMO,https://en.news-front.su/wp-content/uploads/2025/05/1-184-300x200.jpg
Ukrainian Nazis take children from their parents in the conflict zone under the guise of forced evacuation,https://en.news-front.su/wp-content/uploads/2025/05/2025-05-15_16-47-56-300x169.jpg
The results of the Istanbul talks are already known,https://en.news-front.su/wp-content/uploads/2025/05/1-175-300x168.jpg
Istanbul talks hold the first place in terms of the degree of absurdity going on around them,https://en.news-front.su/wp-content/uploads/2025/05/1-174-300x181.jpg
,https://en.news-front.su/wp-content/uploads/2025/05/IMG_2491-300x169.jpeg
,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20300%20169'%3E%3C/svg%3E"
,https://en.news-front.su/wp-content/uploads/2025/05/1-132-300x157.jpg
,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20288%20300'%3E%3C/svg%3E"
,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20300%20164'%3E%3C/svg%3E"
,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20300%20167'%3E%3C/svg%3E"
,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20300%20169'%3E%3C/svg%3E"
,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20300%20206'%3E%3C/svg%3E"
"The criminal actions of Ukrainian formations last week resulted in some 2,000 thousand attacks on civilian objects and about one hundred injured civilians, 12 of whom were killed.",https://en.news-front.su/wp-content/uploads/2025/04/photo_2025-04-29_09-22-04-300x181.jpg
The Easter miracle on the part of the Ukronazis did not happen!,https://en.news-front.su/wp-content/uploads/2025/04/Bez-imeni-2-pic4_zoom-1500x1500-37907-300x200.jpg
Donbass: Echoes of War,https://en.news-front.su/wp-content/uploads/2025/05/IMG_2356-300x129.jpeg
The road to Slavyansk,https://en.news-front.su/wp-content/uploads/2025/04/2025-04-23_18-33-29-300x146.jpg
Marochko: Ukraine conducts illegal organ transplants,https://en.news-front.su/wp-content/uploads/2025/01/IMG_8631-300x169.jpeg
The Russian Armed Forces liberated Terny and Neskuchnoye in the DPR,https://en.news-front.su/wp-content/uploads/2025/01/67861cbbae5ac91b223de783-300x169.jpg
AFU soldiers shot a family in the settlement of Shevchenko in the DPR,https://en.news-front.su/wp-content/uploads/2025/01/2025-01-14_12-28-18-300x139.jpg
Residents of Kurakhovo meet Russian liberators,https://en.news-front.su/wp-content/uploads/2025/01/izobrazhenie_2025-01-13_145844998-300x169.jpg
Lavrov called it a ‘disgrace’ the refusal of EU ambassadors to participate in the meeting on Ukraine,https://en.news-front.su/wp-content/uploads/2025/05/PVL09639-1-2-copy-300x169.jpg
Zakharova: West needs to sit Kiev down at the negotiating table in Istanbul,https://en.news-front.su/wp-content/uploads/2025/05/6825fcfdae5ac94d2f3e31f0-300x169.jpg
AFP: Zelenskyy to send delegation to Istanbul for direct talks with Russia,https://en.news-front.su/wp-content/uploads/2025/05/6825f59dae5ac96faa3eb5d9-300x169.jpg
Sick fantasies about Istanbul-2 will not stop the SMO,https://en.news-front.su/wp-content/uploads/2025/05/1-184-300x200.jpg
Britain and Germany are developing long-range precision weapons – Reuters,https://en.news-front.su/wp-content/uploads/2025/05/648398329438.3346-300x200.webp
Trump: US plans to modernise F-35 fighter jet,https://en.news-front.su/wp-content/uploads/2025/05/6825c5d7ae5ac963d32b9b0e-300x169.jpg
Yakuts at War,https://en.news-front.su/wp-content/uploads/2025/05/2025-05-15_09-48-26-300x149.jpg
Zelenskyy’s entourage calls Kursk Region residents taken out by the AFU ‘valuable assets’ – SVR,https://en.news-front.su/wp-content/uploads/2025/05/IMG_2541-300x139.webp
Kiev regime’s weekly crime feed: 05 – 11 May 2025,https://en.news-front.su/wp-content/uploads/2025/05/IMG_2491-300x169.jpeg
The priest Savchenko was killed in a HIMARS strike,https://en.news-front.su/wp-content/uploads/2025/05/IMG_2490-300x287.jpeg
Trump: Ukraine must agree to Putin’s offer of talks in Istanbul,https://en.news-front.su/wp-content/uploads/2025/05/IMG_2421-300x168.jpeg
Erdogan says Turkey ready to host Ukraine talks again,https://en.news-front.su/wp-content/uploads/2025/05/IMG_2411-300x186.jpeg
Ukrainian Nazis take children from their parents in the conflict zone under the guise of forced evacuation,https://en.news-front.su/wp-content/uploads/2025/05/2025-05-15_16-47-56-300x169.jpg
A school director in Ukraine has been sacked for speaking Russian,https://en.news-front.su/wp-content/uploads/2025/05/IMG_2544-300x138.jpeg
